Total vehicle density per km2,Total distance traveled (km),Total number of vehicles in the simulation,Total circulation area (km2),Percentage Automobile,Percentage Motorcycles,Percentage SUV,Percentage Pickup,Percentage Truck,Distance traveled by Automobile (km),Distance traveled by Motorcycles (km),Distance traveled by Pickup (km),Distance traveled by SUV (km),Distance traveled by Truck (km),Tons of CO2 emitted by Automobile,Tons of CO2 emitted by Motorcycles,Tons of CO2 emitted by Pickup,Tons of CO2 emitted by SUV,Tons of CO2 emitted by Truck,total tons of CO2 emitted
67.01391576644069,3011.9622900000004,410.0,6.118132261199999,31.77612513282708,29.014099642754378,20.103108454058976,16.193273205588387,2.913393564771184,979.97599,843.72364,482.34639,621.9002399999999,84.01603,0.3101251896384126,0.0335531204425382,0.1351079767675025,0.1365273520332078,0.094093421265515,0.7094070601471762
74.27008758117876,3104.6359900000007,387.0,5.210711507200001,27.779598140327806,31.30875920269648,21.355067698392148,17.00429936536815,2.55227559321542,829.25519,980.54033,534.90507,682.18978,77.74562,0.2567617713955038,0.0359284289237735,0.1370660845647771,0.1405166056342575,0.0816159289613941,0.6518888194797062
63.44386909696831,3120.42527,397.0,6.257499828599999,31.146711797625453,30.811847762761204,20.264627503450168,15.070063007603297,2.7067499285598777,1018.04375,937.49132,452.27345,629.97506,82.64169,0.2981287447247534,0.035509033937844,0.1167795881859343,0.1349078721551816,0.0886473179562096,0.6739725569599231
65.67585331981063,2660.9232300000003,410.0,6.242781468,28.71645119857534,29.611702271411566,20.05268525538267,18.05166967027621,3.567491604354214,748.0288,813.1763,518.61978,500.59166,80.50669,0.2922399782950431,0.0347517525062222,0.1536403593582427,0.1304823095896369,0.1065055817677268,0.7176199815168719
68.50287134810004,1490.54575,379.0,5.532614802,27.21897302259469,31.032529835055826,19.569205484319937,18.742485711747463,3.436805946282093,395.00951,451.2662,284.80474,306.79783,52.66747,0.2593409160758402,0.0303199812957644,0.1363926507567635,0.1147618636889325,0.0955832997583952,0.6363987115756959
73.90977602213152,1230.34974,385.0,5.2090538048,28.23263160034027,31.56920213800652,20.254592330003224,17.608576994654985,2.334996936995003,362.51743,394.20029,223.79741,219.16227,30.67234,0.2758092369478369,0.0305429536748052,0.1293282213828471,0.1166280921850622,0.064966361030048,0.6172748652205996
67.71226633346973,2805.19738,414.0,6.114106386,30.134068023247384,30.58712833763521,18.49870874703937,18.07526337625544,2.7048315158225944,801.91115,891.78243,487.74367,555.5127200000001,68.24741,0.2971746537976157,0.0359400731801184,0.145466337339747,0.1271706229979488,0.0826382933445145,0.6883899806599446
73.70045749943043,3102.29368,384.0,5.210279732699999,31.07042496493052,27.68045082630809,22.554329321717656,16.348809302227043,2.345985584816693,944.39703,871.93792,504.03226,716.40973,65.51674,0.2829059741633696,0.0314277594615592,0.1316440587695836,0.1472816935845927,0.0701640335328122,0.6634235195119175
75.74033169929827,3063.01296,419.0,5.532059216000001,29.50240062316248,31.12103759310385,20.45137919505882,15.214746340471438,3.7104362482034094,922.30232,963.847,455.01101,616.88384,104.96879,0.2980613764541706,0.0376972923344692,0.127071576208094,0.1407245192377307,0.1158702706373169,0.7194250348717816
70.67329882700723,3054.37961,391.0,5.532499635499999,29.510177191026244,29.97840451539222,20.81075362088293,16.558439122193825,3.14222555050477,900.75529,927.05277,503.13757,628.61241,94.82157,0.2762276833065038,0.0348235270729702,0.1305016778660484,0.1363226683205453,0.0957070636936125,0.6735826202596803
72.29471115502655,3377.64393,400.0,5.532908197699999,32.73915251385462,30.627327343560257,17.337933901349185,15.514963900717266,3.780622340518675,1069.72111,1054.81833,524.46003,598.0949,130.54956,0.3012285262993602,0.0379594918390261,0.1262416525177788,0.1216011314029325,0.1237262894407619,0.7107570914998597
63.55040796717512,3266.16536,396.0,6.2312739236,32.12245358332141,30.319608364123862,18.362662875665297,17.015146594722424,2.1801285821670024,1017.63639,1011.19899,539.88763,636.72155,60.7208,0.2977527946110236,0.0366036705541764,0.1334809536078643,0.1334890361772902,0.0619638383907747,0.6632902933411293
70.85191694616691,1477.98014,392.0,5.532666114,29.98521795463737,29.81699613089805,20.167291234927145,16.464048848754263,3.5664458307831617,440.176,432.40331,264.38798,293.95056,47.06229,0.2917230995401398,0.0298147654633987,0.1241091128296202,0.120268239395015,0.100270459592211,0.6661856768203849
60.77368541622724,3193.7121300000003,380.0,6.252706206600001,27.775688162538632,31.45017207981494,19.745218437929022,17.12601633661194,3.902904983105461,895.15258,991.06343,544.4718,627.94655,135.07777,0.2546879869133008,0.0347565008012095,0.1344254992537482,0.1293300371857113,0.1232567782835252,0.6764568024374952
64.33144263174242,3104.43112,401.0,6.233343814399999,29.41239023651228,30.247233697900583,19.7735244932088,16.992145391827247,3.574706180551104,916.48836,947.29756,512.55582,619.85844,108.23094,0.2788558890751572,0.0360619812994367,0.1354100391336126,0.1333075106708308,0.1102837588207837,0.6939191789998209
70.84157275589791,2167.20019,401.0,5.660518031999999,30.82429039533597,30.12943813211909,17.788913003390217,19.5870037022852,1.6703547668695122,657.38861,650.96537,414.90979,407.29848,36.63794,0.3057086347123861,0.0332445854712786,0.153133670384281,0.1145183031999174,0.0538723022084705,0.6604774959763338
62.17220596432621,3012.60839,389.0,6.256815147,30.33132955364507,31.392713573440133,20.53797397810952,14.622563698645404,3.1154191961598765,906.93827,962.5556,453.35625,596.42922,93.32905,0.2787501229772602,0.0358412974177294,0.1162022093773702,0.1314086794669487,0.0935823055370452,0.6557846147763539
